,subject_num,posture,cursor_type,repetition,target_num,wide,target_size,extra_times_over_target,error
1532,1,WALK,EYE,8,2,SMALL,2.5,11,
1533,1,WALK,EYE,8,2,SMALL,3.0,6,
1534,1,WALK,EYE,8,2,SMALL,3.5,3,
1535,1,WALK,EYE,8,2,SMALL,4.0,4,
1536,1,WALK,EYE,8,3,SMALL,0.5,9,
1537,1,WALK,EYE,8,3,SMALL,1.0,11,
1538,1,WALK,EYE,8,3,SMALL,1.5,13,
1539,1,WALK,EYE,8,3,SMALL,2.0,8,
1540,1,WALK,EYE,8,3,SMALL,2.5,10,
1541,1,WALK,EYE,8,3,SMALL,3.0,8,
1542,1,WALK,EYE,8,3,SMALL,3.5,6,
1543,1,WALK,EYE,8,3,SMALL,4.0,4,
1544,1,WALK,EYE,8,4,SMALL,0.5,7,
1545,1,WALK,EYE,8,4,SMALL,1.0,9,
1546,1,WALK,EYE,8,4,SMALL,1.5,9,
1547,1,WALK,EYE,8,4,SMALL,2.0,11,
1548,1,WALK,EYE,8,4,SMALL,2.5,8,
1549,1,WALK,EYE,8,4,SMALL,3.0,4,
1550,1,WALK,EYE,8,4,SMALL,3.5,2,
1551,1,WALK,EYE,8,4,SMALL,4.0,2,
1552,1,WALK,EYE,8,5,SMALL,0.5,5,
1553,1,WALK,EYE,8,5,SMALL,1.0,17,
1554,1,WALK,EYE,8,5,SMALL,1.5,14,
1555,1,WALK,EYE,8,5,SMALL,2.0,9,
1556,1,WALK,EYE,8,5,SMALL,2.5,5,
1557,1,WALK,EYE,8,5,SMALL,3.0,4,
1558,1,WALK,EYE,8,5,SMALL,3.5,2,
1559,1,WALK,EYE,8,5,SMALL,4.0,2,
1560,1,WALK,EYE,8,6,SMALL,0.5,2,
1561,1,WALK,EYE,8,6,SMALL,1.0,10,
1562,1,WALK,EYE,8,6,SMALL,1.5,11,
1563,1,WALK,EYE,8,6,SMALL,2.0,10,
1564,1,WALK,EYE,8,6,SMALL,2.5,10,
1565,1,WALK,EYE,8,6,SMALL,3.0,7,
