,target_size,subject_num,posture,cursor_type,repetition,target_num,wide,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,longest_dwell,error
2250,1.0,6,STAND,HAND,9,0,LARGE,0.4469480804313726,0.23296369524537006,9.029236988448979,9.029236988448979,1.6005860000000212,1.0,0.8320610000000102,0.8320610000000102,0.16601458144002432,-0.14732732851448915,0.42786280316055025,0.23071316084178972,0.8320610000000102,
2251,1.0,6,STAND,HAND,9,1,LARGE,0.49945028375,0.20883073433466112,9.688488056677851,9.688488056677851,1.6170719999999505,1.0,0.8488280000000259,0.8488280000000259,0.30509749589846613,0.3835046653378696,0.22049693255844818,0.13868930458759018,0.8488280000000259,
2252,1.0,6,STAND,HAND,9,2,LARGE,0.6351158848039216,0.1558621509317783,8.223298008933824,8.223298008933824,1.4140629999999987,1.0,0.8361780000000181,0.8361780000000181,0.34833007737590266,0.5165795024103198,0.20381515583618462,0.066895982769078,0.8361780000000181,
2253,1.0,6,STAND,HAND,9,3,LARGE,1.5343361242641511,0.3240067335973585,9.01599702879798,9.01599702879798,1.531739000000016,1.0,0.11736999999999398,0.11736999999999398,-0.36728661257063433,-1.3612052758697344,0.4873691956409106,0.48713386738768,0.11736999999999398,
2254,1.0,6,STAND,HAND,9,4,LARGE,1.2668141084479165,0.42472018254803756,8.614481171391565,8.614481171391565,1.1658110000000192,2.0,0.751088999999979,0.3755444999999895,-0.0404134487413932,-1.1621056509140095,0.3856191987808448,0.5358736588821,0.6505429999999706,
2255,1.0,6,STAND,HAND,9,5,LARGE,0.41126078850877196,0.11857887976792941,10.909497359961538,10.909497359961538,1.2157280000000128,1.0,0.9340339999999969,0.9340339999999969,0.3191446628801094,-0.04029607073387589,0.19958213011287398,0.20380868488650236,0.9340339999999969,
2256,1.0,6,STAND,HAND,9,6,LARGE,0.9968446308275862,0.012736962245563333,8.8416126616875,8.8416126616875,2.7163999999999646,1.0,0.2662510000000111,0.2662510000000111,-0.2921843255908549,0.9376685086109094,0.16995807597865065,0.03902380164643009,0.2662510000000111,
2257,1.0,6,STAND,HAND,9,7,LARGE,1.1330504994065935,0.3449514768224195,7.884624234614379,7.884624234614379,1.0332950000000096,2.0,0.6682729999999424,0.3341364999999712,0.8780231559415791,0.6488882014367888,0.45439380265100104,0.2079270347980892,0.5022879999999645,
2258,1.0,6,STAND,HAND,9,8,LARGE,0.8800097152727272,0.05732026857282211,10.00000140095946,10.00000140095946,1.749481000000003,1.0,0.7009580000000142,0.7009580000000142,0.19850967751082302,0.8017352160865947,0.3302833068345433,0.06409580514772978,0.7009580000000142,
2259,1.0,6,WALK,HAND,9,0,LARGE,4.395233968923496,3.092040363229572,8.908106880076668,8.908106880076668,1.9486630000000105,4.0,0.5142199999999093,0.12855499999997733,2.9543945685200996,0.022169344531608827,4.865661403035571,0.9511144931193171,0.2807619999999815,
2260,1.0,6,WALK,HAND,9,1,LARGE,4.486910755725925,2.3538309855458732,9.751390203531562,9.751390203531562,2.7708999999999833,2.0,0.08184399999993275,0.040921999999966374,-0.4700965006581089,0.531983559560679,5.268717547250711,0.6608549663565736,0.04949999999996635,
2261,1.0,6,WALK,HAND,9,2,LARGE,3.854682001005085,2.0953616582011687,10.252751286492998,10.252751286492998,2.0494579999999587,5.0,0.25306399999999485,0.05061279999999897,2.6236843527908227,-0.7228379926883002,3.4429142306352576,0.8317546361051982,0.10056399999996302,
2262,1.0,6,WALK,HAND,9,3,LARGE,2.714062787538835,1.54763978350825,8.464118740656959,8.464118740656959,1.7183509999999842,7.0,0.2844109999999773,0.04063014285713962,-0.538982970759093,0.07463145201482642,2.992925503707962,0.7419440442719428,0.098700000000008,
