imu_packets,1265
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1596007764.5182211,B990965,0.00995,0.05792,-0.98425,0.16687,0.0157
1596007764.5233548,B990970,0.00989,0.05713,-0.98431,0.16669,0.0157
1596007764.529053,B990975,0.00989,0.05640,-0.98437,0.16650,0.0157
1596007764.533765,B990981,0.00983,0.05566,-0.98444,0.16632,0.0157
1596007764.540607,B990986,0.00983,0.05499,-0.98450,0.16614,0.0157
1596007764.544665,B990991,0.00977,0.05420,-0.98462,0.16595,0.0157
1596007764.549149,B990996,0.00977,0.05347,-0.98468,0.16577,0.0157
1596007764.554382,B991001,0.00977,0.05273,-0.98474,0.16559,0.0157
1596007764.5601642,B991006,0.00970,0.05194,-0.98480,0.16541,0.0157
1596007764.565079,B991011,0.00970,0.05115,-0.98486,0.16516,0.0158
1596007764.569974,B991017,0.00977,0.05035,-0.98499,0.16504,0.0158
1596007764.574831,B991022,0.00977,0.04901,-0.98511,0.16467,0.0158
1596007764.5819058,B991027,0.00970,0.04834,-0.98517,0.16455,0.0158
1596007764.585067,B991032,0.00970,0.04779,-0.98517,0.16437,0.0158
1596007764.590223,B991037,0.00970,0.04736,-0.98523,0.16425,0.0158
1596007764.5949,B991042,0.00964,0.04700,-0.98529,0.16418,0.0158
1596007764.6012921,B991047,0.00964,0.04669,-0.98529,0.16406,0.0158
1596007764.605002,B991052,0.00958,0.04645,-0.98535,0.16400,0.0158
1596007764.610156,B991057,0.00952,0.04626,-0.98535,0.16394,0.0158
1596007764.615357,B991062,0.00952,0.04614,-0.98535,0.16388,0.0158
1596007764.621469,B991068,0.00946,0.04608,-0.98535,0.16388,0.0158
1596007764.6266098,B991074,0.00946,0.04602,-0.98535,0.16388,0.0158
1596007764.633121,B991079,0.00946,0.04602,-0.98535,0.16388,0.0158
1596007764.6375759,B991084,0.00946,0.04602,-0.98535,0.16388,0.0158
1596007764.643926,B991090,0.00952,0.04602,-0.98535,0.16394,0.0157
1596007764.648685,B991095,0.00958,0.04602,-0.98535,0.16400,0.0157
